微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KuEGJrPIX,这世界本不该非黑即白，但是在我眼里就是这样——道尔顿——HOBBIT丁丁  ,,无,无,无,2021-08-22 18:33,微博 weibo.com,1599,18,103
KuEinrKW4,新闻主持人因为拿错稿提前剧透了明天的新闻。——kyz2955  ,,无,无,无,2021-08-22 17:33,微博 weibo.com,1630,20,81
KuDU1uYyf,防晒霜涂脸上是为了防太阳紫外线，那为什么不能直接给太阳涂——层主最帅了啊  ,,无,无,无,2021-08-22 16:33,微博 weibo.com,2520,23,131
KuDvFw01u,小明给突然给自己下面一刀并直呼自己阉瘾犯了。——@请不要叫我学渣o  ,,无,无,无,2021-08-22 15:33,微博 weibo.com,1525,18,108
KuDejmgI4,冷知识:指少有人知道的、偏门的知识或事情——@大太太和花儿匠找回来了嘛  ,,无,无,无,2021-08-22 14:50,橘色pop子Android,2006,20,85
KuD7jAk4W,“事业？”“在编。” ——Weiershier  ,,无,无,无,2021-08-22 14:33,微博 weibo.com,2095,30,67
KuCIXDxU6,拔完智齿失聪了怎么办 ——丝愁绪梦  ,,无,无,无,2021-08-22 13:33,微博 weibo.com,1128,20,100
KuCkC0NRr,陆羽接受拜访时谦虚地说道：“哪里有什么天才，我只是把别人喝咖啡的时间都用在喝茶上了。”——@丧失股长  ,,无,无,无,2021-08-22 12:33,微博 weibo.com,2568,75,151
KuBWg41yd,耻辱柱因为刻上了我的名字而被刻在了耻辱柱上——艾德托孔博  ,,无,无,无,2021-08-22 11:33,微博 weibo.com,2528,290,103
KuBxU3WG8,你们都以为“倦”是个形声字 其实这是个会意字——Hak_Han  ,,无,无,无,2021-08-22 10:33,微博 weibo.com,2551,84,114
KuB9y3RVP,蜀国的军队在被围困兵粮短缺之时只好杀木牛流马充饥——超级玛丽奥世界  ,,无,无,无,2021-08-22 09:33,微博 weibo.com,843,5,63
KuALc5ZlU,刚做了个商业调查，感觉服装行业是大有可为，你们看满大街的人，都穿衣服。——渐进自由2009  ,,无,无,无,2021-08-22 08:33,微博 weibo.com,2464,20,68
KuAmQ70FG,内卷的反义词是不是外摊？——tuang41  ,,无,无,无,2021-08-22 07:33,微博 weibo.com,1799,21,83
KuA9FnB2x,医生您好我问一下啊，我的糖尿病是几分糖啊。 ——@宇宙级树莓酱  ,,无,无,无,2021-08-22 07:00,橘色pop子Android,3641,141,95
KuxljqEPJ,想象中的二人世界，由我一人独享——GrandpaFranka  ,,无,无,无,2021-08-21 23:51,微博 weibo.com,1110,68,65
Kuxe0rhDK,老王擅长砍价，于是他将二氧化碳砍成一氧化碳中毒身亡——狂鯊歌德  ,,无,无,无,2021-08-21 23:33,微博 weibo.com,2543,241,134
KuwWXptaQ,我脖子顶上长了个包——lsz哀木涕  ,,无,无,无,2021-08-21 22:51,微博 weibo.com,1864,27,77
KuwPErcLY,"为什么美国的狗叫声也是“汪汪”而不是“woof, woof”呢  原图 ",,https://wx4.sinaimg.cn/large/007FR7Stgy1gtnuqg3i6nj30u02h77a9.jpg,无,无,2021-08-21 22:33,微博 weibo.com,2957,42,116
KuwyBuTFR,祖宗最不安全的人竟然被称为祖安人——小基佬1996  ,,无,无,无,2021-08-21 21:51,微博 weibo.com,2152,35,83
KuwrivwWR,据说每个胖子都是潜力股，瘦下来的话就会很瘦——陆豆哥哥  ,,无,无,无,2021-08-21 21:33,微博 weibo.com,1023,17,64
Kuwmi0f0E,一个不成熟的想法，世界上不存在永动机我们造一个不就有了吗——@面包ProMax  ,,无,无,无,2021-08-21 21:20,橘色pop子Android,2098,40,140
KuwawoMFD,您别看我岁数小，但我辈分大。您家孩子见了我都得喊一声爸爸。——@两颗豆的老豆  ,,无,无,无,2021-08-21 20:51,橘色pop子Android,1623,11,42
Kuw2WwyOO,心脏手术失败原因是医生没有get到梗在哪——月夜魔术师  ,,无,无,无,2021-08-21 20:33,微博 weibo.com,1889,55,64
KuvNLEBfR,水逆的人就不要喷香水了，可以弄点香火。 ——@意志消沉啊狗子  ,,无,无,无,2021-08-21 19:55,橘色pop子Android,790,13,40
KuvEABYzE,祭祖就是在给他们送外卖——@王小波很大  ,,无,无,无,2021-08-21 19:33,微博 weibo.com,900,7,46
KuvgeCZJU,为保护环境人口专家呼吁推广纸质避孕套——长坂战神刘禅  ,,无,无,无,2021-08-21 18:33,微博 weibo.com,1524,18,73
KuvbZl1xq,筷子有都公筷，勺子都有公勺，吸管为什么没有公共吸管？——@张小白啊白  ,,无,无,无,2021-08-21 18:22,橘色pop子Android,1079,11,97
Kuv4yDsj0,武则天:要大碑的，全唐，无冰无字——@吴洋是我的姓名隐私  ,,无,无,无,2021-08-21 18:04,橘色pop子Android,2446,53,63
KuuRSAIhv,日啖荔枝三百颗，来生再做岭南人——丝愁绪梦  ,,无,无,无,2021-08-21 17:33,微博 weibo.com,1298,18,65
KuuM5CF6A,为什么在末日片里只要人类一受伤流血僵尸就会疯狂追？你们尸人没有自己的疤吗？ ——@炸过的花椒实在是太难吃啦  ,,无,无,无,2021-08-21 17:18,橘色pop子Android,2654,38,73
Kuutx0aMr,往功德箱里投冥币可以给自己积阴德吗？——所谓的伊人在何  ,,无,无,无,2021-08-21 16:33,微博 weibo.com,1325,31,67
Kuuq56aLU,保持单身的秘诀是不谈恋爱——@王宝汉  ,,无,无,无,2021-08-21 16:24,橘色pop子Android,1204,23,87
KuuhypHih,小李一身潮牌竟导致衣柜发霉。——@李江砾  ,,无,无,无,2021-08-21 16:03,橘色pop子Android,1473,14,56
Kuu5b05Si,夏天热的时候往自己身上洒水一下子就干了，为什么人类不能自动分泌液体辅助散热呢？——破解有同感  ,,无,无,无,2021-08-21 15:33,微博 weibo.com,1174,10,64
Kuu1xwewv,一休哥调休成为日本僧侣一哥——@吴洋是我的姓名隐私  ,,无,无,无,2021-08-21 15:24,橘色pop子Android,672,16,33
KutPon5bf,把死后的日子调到现在休息，等以后死了又活一会儿。——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-08-21 14:54,橘色pop子Android,1657,171,55
KutGP6Cdi,我和纸片人老婆生出来的孩子是不是2.5维的？——GogasDuach  ,,无,无,无,2021-08-21 14:33,微博 weibo.com,2860,86,119
Kutit6xqn,为大家写一首十四行诗 行行行行行行行行行行行行行行——AO黄油butter  ,,无,无,无,2021-08-21 13:33,微博 weibo.com,3390,141,177
Kut36EIwy,甲骨文算不算一种美甲——@幸福快乐薄荷酱  ,,无,无,无,2021-08-21 12:55,橘色pop子Android,727,12,53
KusU7aRlp,给菩萨上的香，被我闻了是不是抢了菩萨的香火——我叫大二饼  ,,无,无,无,2021-08-21 12:33,微博 weibo.com,1303,15,62
KusNlbGjx,#弱智吧每周最佳# 2021年第30周，还是四选一1.我发誓我一定要做一个了不起的人！先从睡了不起开始 2.“我是free控。”艾伦说道3.“让他多蹲一会儿，我爱吃麻的。”食人族族长吩咐道。4.题目：十二生肖第二个是什么？庖丁：解：牛。 2021年第30周  ,,无,无,无,2021-08-21 12:16,橘色pop子Android,21068,253,320
KusGuzhe4,“吃这玩意会长胖。”“会长变胖了跟我有啥关系？”——@幸福快乐薄荷酱   ,,无,无,无,2021-08-21 11:59,橘色pop子Android,1022,11,63
KusvLcYYi,流水的水，铁打的铁——@POWEHI1015  ,,无,无,无,2021-08-21 11:33,微博 weibo.com,1914,30,98
Kusg7lj6P,美由姬的吧应该叫什么 ——@自信的女孩才是最美的  ,,无,无,无,2021-08-21 10:54,橘色pop子Android,4153,122,173
Kus7paHAI,为什么青铜件上有英文字母就是假的？万一是拼音呢——蒋哥蒋晨阳  ,,无,无,无,2021-08-21 10:33,微博 weibo.com,1927,11,101
KurJ3g7PH,专家近日发现曹操七十二疑冢材料是孙悟空——空城澹月华  ,,无,无,无,2021-08-21 09:33,微博 weibo.com,711,7,58
KurkHg2Oi,一个人有几十万根头发，那理发师每次理发得剪几十万下不是很累吗？——吊丝的煮饭  ,,无,无,无,2021-08-21 08:33,微博 weibo.com,2563,21,107
KuqWljguj,"你们都说我是弱智,其实只有我遵守了当年一起不长大的约定——排山烈打  ",,无,无,无,2021-08-21 07:33,微博 weibo.com,4050,266,105
KunUOBNJ9,饿得胃疼为什么不吃止疼药而是吃饭呢？——污克兰  ,,无,无,无,2021-08-20 23:51,微博 weibo.com,2393,25,123
KunNvCrhI,我本质上是一个反本质主义者 ——唐623  ,,无,无,无,2021-08-20 23:33,微博 weibo.com,1419,23,86
KunC46MFh,我养成了晚睡的习惯，这样如果我在梦中死去，我就能比早睡的人多活一会。——@KING-NEW-HX  ,,无,无,无,2021-08-20 23:04,橘色pop子Android,1827,158,50
KunwsACOE,英国人犯罪后会被法官判为澳大利亚籍吗——用户您太长  ,,无,无,无,2021-08-20 22:51,微博 weibo.com,1183,19,82
Kunp9Bgll,腔肠动物用来擦嘴的是餐巾还是厕纸？——超级玛丽奥世界  ,,无,无,无,2021-08-20 22:33,微博 weibo.com,1109,10,93
KunfwnNvY,为了给家里续香火，我出家了 ——@守护最好的谐音梗  ,,无,无,无,2021-08-20 22:09,橘色pop子Android,1765,67,66
Kun8705o2,时间就像海绵里的水，挤的越多，剩的越少。——秋叶冷雨  ,,无,无,无,2021-08-20 21:51,微博 weibo.com,1493,44,87
Kun0NBbzn,你昨天的工作没做完，赶紧回去做，做不完不准回到今天来。——sawuya2  ,,无,无,无,2021-08-20 21:33,微博 weibo.com,868,26,45
KumTf2Rqw,周杰伦告白气球已经五年了，庭审结果怎么还没出来——@御手洗団子_  ,,无,无,无,2021-08-20 21:14,橘色pop子Android,2730,98,184
KumJL2dt3,蜀国发动姜维打击，将魏国夷为平地——空城澹月华  ,,无,无,无,2021-08-20 20:51,微博 weibo.com,878,45,57
KumCs1Kil,我偏心又怎么样？我的心脏又不是长在正中间的。——Mr_Yang2333  ,,无,无,无,2021-08-20 20:33,微博 weibo.com,1471,73,59
KumtPrK7U,年事已高的老张重走丝绸之路的时候痛い一路——@御手洗団子_  ,,无,无,无,2021-08-20 20:11,橘色pop子Android,1276,45,82
Kumlp3eeU,假钱也叫纸骗人。——@请不要叫我学渣o  ,,无,无,无,2021-08-20 19:51,微博 weibo.com,914,23,46
Kume63RTi,雪崩的时候，每一片雪花都崩不住了——可爱的牛啤  ,,无,无,无,2021-08-20 19:33,微博 weibo.com,1391,47,59
KulX339v8,也就是生不逢时，我要是出生在泥盆纪，智商岂不是全球最高 ——@一只筐  ,,无,无,无,2021-08-20 18:51,微博 weibo.com,2069,11,91
KulPK3MSn,👨🏻：“把我老爷车卖了。”👨🏿：“我把老爷车卖了。”——用户您太长  ,,无,无,无,2021-08-20 18:33,微博 weibo.com,2900,33,111
KulMb289x,我p自拍，我是我自己的女娲 ——@张允森森  ,,无,无,无,2021-08-20 18:24,橘色pop子Android,1248,31,45
KulyH7teo,健康小常识：如果每天保证八小时睡眠，十年下来，会有三分之一的时间在睡觉。——牧杰人笃银  ,,无,无,无,2021-08-20 17:51,微博 weibo.com,1441,23,93
Kulro3IlS,为了能有健康的身体，我决定每天戒烟八小时。——让子弹飞一下先  ,,无,无,无,2021-08-20 17:33,微博 weibo.com,1222,5,70
Kulal7oCJ,刚刚把漂白粉冲水喝了，希望不再尿黄。 ——@creeeeeeeeee  ,,无,无,无,2021-08-20 16:51,微博 weibo.com,1190,11,84
Kul3298cR,网上的东西都是虚拟的。所以你们都是虚拟的。——Forever景庆  ,,无,无,无,2021-08-20 16:33,微博 weibo.com,2236,55,108
KukLZ8pLm,日本人体型偏瘦和人口老龄化的原因是胖子和小男孩都炸了——暗夜巫鸦  ,,无,无,无,2021-08-20 15:51,微博 weibo.com,3292,75,131
KukEGbfWr,这个世界上的物质是由分子构成的，另一个世界是不是由分母构成？ ——秽翼行  ,,无,无,无,2021-08-20 15:33,微博 weibo.com,1436,26,77
KuktMEezS,三过家门而不入，全是因为刹不住 特斯拉——您最好的工作助手——chuhanling233  ,,无,无,无,2021-08-20 15:06,微博 weibo.com,746,9,37
KuklF9mvK,女娲用沙子造人，所以我们都是硅基生物——热情的在下213  ,,无,无,无,2021-08-20 14:46,微博 weibo.com,1235,51,73
Kuk2ahQ28,光头走进理发店，托尼老师说：“我都不想理你。”——@雨落万山疏  ,,无,无,无,2021-08-20 13:58,橘色pop子Android,1240,27,56
Kuen128ZK,【侮辱吧主投稿】吧主参加拳皇格斗大赛，大门五郎当场改名大门捂刚——@吴洋是我的姓名隐私 若没了公孙，本吧便会堕入无间道。 ——张脑丸  ,,无,无,无,2021-08-19 23:33,微博 weibo.com,978,5,39
KudYF23KB,六月第三个星期七是父亲节，那十二月的第六个星期十四是爷爷节吗？ ——星星只wy  ,,无,无,无,2021-08-19 22:33,微博 weibo.com,1025,11,89
KudJVrJPJ,审判结果：终生死刑——@Riverofstar  ,,无,无,无,2021-08-19 21:56,橘色pop子Android,967,18,53
KudAj8A3F,蝴蝶帮植物授粉，救赎年少无知犯下的罪过——草原上的暗杀者  ,,无,无,无,2021-08-19 21:33,微博 weibo.com,883,30,76
Kudq7jtwb,忽然想到：硫酸泡屌算不算化学阉割？——@我改个名字真费劲  ,,无,无,无,2021-08-19 21:07,橘色pop子Android,1182,16,68
KudbXbNVi,NASA男厕所标语：这是一个人的一小步，却是整个人类文明的一大步——暗夜巫鸦  ,,无,无,无,2021-08-19 20:33,微博 weibo.com,750,7,45
KucNBdVdn,看着夜空中划过的流星，我没有许愿，而是对着它说了声再见。第二天晚上，我又见到了那颗流星。——@creeeeeeeeee  ,,无,无,无,2021-08-19 19:33,微博 weibo.com,5282,618,158
KucpfcK7c,有色污染深受白色污染歧视——长坂战神刘禅  ,,无,无,无,2021-08-19 18:33,微博 weibo.com,599,2,40
Kuc0TeRNi,王羲之书法入木三分，所以他的书法有97分 ——污克兰  ,,无,无,无,2021-08-19 17:33,微博 weibo.com,1044,8,78
KubVIkyB1,按照曹操的嗜好，关羽说不定是人妻——@话痨格鲁特  ,,无,无,无,2021-08-19 17:20,橘色pop子Android,1958,56,96
KubM4wyem,耶稣被钉上十字架，在行刑队的目光中成为了up主。——@司徒皮尔德  ,,无,无,无,2021-08-19 16:56,橘色pop子Android,686,9,57
KubCxgZmq,开压路机上街能有效预防插队——主治医师林待育  ,,无,无,无,2021-08-19 16:33,微博 weibo.com,774,10,58
KubrD9HeR,未来清晰可见，未来黯淡无光。 ——year拉开  ,,无,无,无,2021-08-19 16:06,橘色pop子Android,2256,66,102
KubkuwUOf,一位up主半夜三更进了医院——@电子机器人会流电解质吗  ,,无,无,无,2021-08-19 15:48,橘色pop子Android,4928,158,145
KubebkcYB,李靖骁勇善战，因为塔他开。 ——张脑丸  ,,无,无,无,2021-08-19 15:33,微博 weibo.com,1739,72,98
Kub9rlxhT,在摸爬滚打中学会了滚——@星野鹊儿  ,,无,无,无,2021-08-19 15:21,橘色pop子Android,1438,37,68
KuaPPlesz,黄四郎战胜张麻子后大呼“赢麻了”。——thing是我  ,,无,无,无,2021-08-19 14:33,微博 weibo.com,1716,20,67
KuaDLrLUi,我发现雪糕有一个共性，中间是木头味的——@Scarabbit  ,,无,无,无,2021-08-19 14:03,橘色pop子Android,1652,16,111
KuartnlJZ,go shopping是不是是由汉语翻译过来的，我们古代就有“购商品”的说法。——正在匹配对手  ,,无,无,无,2021-08-19 13:33,微博 weibo.com,1395,7,60
KuadBsbJy,长寿面煮好了没？我来尝一根——@威廉詹士  ,,无,无,无,2021-08-19 12:58,橘色pop子Android,1315,9,85
Kua37onaf,我得了病，然后被医院录取 ——乌黑黑云朵  ,,无,无,无,2021-08-19 12:33,微博 weibo.com,1459,12,54
Ku9ELquTJ,耶稣听起来像吃了会让人开心的饼干 ——@王小波很大  ,,无,无,无,2021-08-19 11:33,微博 weibo.com,1589,53,80
Ku9gpx0Uz,突然变暖ﾟ ∀ﾟ)ノ  原图 ,,https://wx2.sinaimg.cn/large/007FR7Stgy1gtlhpou53ej30u00x8dht.jpg,无,无,2021-08-19 10:33,微博 weibo.com,1896,29,72
Ku8S3tDt8,所以CFO是首席飞行物吗？——Susnxisnziandh  ,,无,无,无,2021-08-19 09:33,微博 weibo.com,5520,703,160
Ku8tHvL22,好不容易跨过宇宙的尽头，那里变得不是尽头了 ——面包蜂  ,,无,无,无,2021-08-19 08:33,微博 weibo.com,1095,32,67
Ku85lxSvd,刚吃完饭两分钟盘子就被拿去刷了，好险。再晚两分钟吃完饭我就吃到洗洁精了——此吧右上角之父  ,,无,无,无,2021-08-19 07:33,微博 weibo.com,1716,18,75
Ku4Z9fy2P,一句话概括白居易的《茅屋为秋风所破歌》：破房了——@幸福快乐薄荷酱  ,,无,无,无,2021-08-18 23:39,橘色pop子Android,10337,348,264
Ku4UCgXQk,拉闪光弹也是一种开盲盒——@炸过的花椒实在是太难吃啦  ,,无,无,无,2021-08-18 23:28,橘色pop子Android,927,10,43
Ku4F18jd4,如果奇迹有颜色，那么一定看得见——@dd炮灰  ,,无,无,无,2021-08-18 22:49,橘色pop子Android,1806,32,140
Ku4oFh9X1,“abandon”这个词真的充满哲理：在开头就预示了结尾 ——@雲升月墨  ,,无,无,无,2021-08-18 22:09,橘色pop子Android,5452,230,134
Ku4gbkNq8,我二次元浓度偏低，又二又次，但没元 ——@吴洋是我的姓名隐私  ,,无,无,无,2021-08-18 21:48,橘色pop子Android,1972,62,106
Ku49cnFPm,如果输入法产品需要跨国买卖，那各国是不是要颁布《输入法输入法》——@幸福快乐薄荷酱  ,,无,无,无,2021-08-18 21:31,橘色pop子Android,1228,29,53
Ku3TGz8di,一个被盗墓的鬼在哭。“你冢么了？”“你怎么知道？”——@新之助和破坏球都有屁屁神功   ,,无,无,无,2021-08-18 20:53,橘色pop子Android,1317,32,63
Ku3Khigix,如果总是睡不够的话可以试试睡觉的时候做平板撑——@咕咕咕_bot  ,,无,无,无,2021-08-18 20:30,橘色pop子Android,881,14,44
Ku3CBjjzq,食物小诗，看饿了( ´ρ`) 投稿人：@林中捡枝  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/007FR7Stgy1gtl75swgb8j30zk0zkwit.jpg,http://ww2.sinaimg.cn/large/007FR7Stgy1gtl75tedixj30zk0zkgq5.jpg,http://ww2.sinaimg.cn/large/007FR7Stgy1gtl75twgyyj30zk0zkq7a.jpg,http://ww3.sinaimg.cn/large/007FR7Stgy1gtl75udq8nj30zk0zk78r.jpg,http://ww3.sinaimg.cn/large/007FR7Stgy1gtl75usg3lj30zk0zkaey.jpg,http://ww1.sinaimg.cn/large/007FR7Stgy1gtl75vdizgj30zk0zkdkd.jpg",无,无,2021-08-18 20:11,橘色pop子Android,1063,105,75
Ku3iWB6jK,美杜莎要是掉一根头发，头皮上会留下一个洞吗？——@SantaSophiadellaPidda  ,,无,无,无,2021-08-18 19:22,橘色pop子Android,2105,14,81
Ku2njhsaw,理论上说袈裟在唐朝是一种西装 ——@守护最好的谐音梗  ,,无,无,无,2021-08-18 17:00,橘色pop子Android,2119,12,100
Ku2g6wwbb,儿童套餐里的玩具大概是盲盒届的元老了吧——@usagi三言梁语  ,,无,无,无,2021-08-18 16:43,橘色pop子Android,1884,11,75
Ku2bYgHMR,当你在用火车上的接口充电时，火车就变成了一个巨大的移动充电宝。——@绝命毒师101-欧阳锋  ,,无,无,无,2021-08-18 16:32,橘色pop子Android,1599,18,106
Ku1M1zVZB,我撕下一页日历丢进垃圾桶，便摧毁了一个二维世界。——@暴怒冰川  ,,无,无,无,2021-08-18 15:28,橘色pop子Android,2428,281,73
KtVrhAMmF,在浴缸里放屁的话，可以知道屁的大小。——@只会侧躺睡觉的麻纸  ,,无,无,无,2021-08-17 23:21,橘色pop子Android,3145,15,152
KtV0xyeNP,奥巴马算不算当代哥白尼——@铁骨衣  ,,无,无,无,2021-08-17 22:15,橘色pop子Android,928,15,75
KtUK4niOT,杰森斯坦森这人是不是只会演光头啊？——@用户6104279745  ,,无,无,无,2021-08-17 21:34,橘色pop子Android,1393,20,74
KtUytuDUM,醒来以后不记得昨晚做的梦，是不是大脑自动清缓存了呢？——@李万1  ,,无,无,无,2021-08-17 21:06,橘色pop子Android,1365,27,75
KtTTnF4MV,对于大学能不能顺利毕业这件事，还有待考证——@珠江辣妹  ,,无,无,无,2021-08-17 19:25,橘色pop子Android,1629,52,44
KtTq4t1OO,有时候睁一只眼闭一只眼是在对生活wink——@飞蛾e  ,,无,无,无,2021-08-17 18:12,橘色pop子Android,2491,260,91
KtSUg1kB8,由氮气、氧气、稀有气体、二氧化碳、水和杂质组成的空气是什么成分不用我多说了吧？——@要好好吃早饭哦  ,,无,无,无,2021-08-17 16:54,橘色pop子Android,3746,52,164
KtSyd5EVA,洗衣机其实是投币机 投两只袜子 可以获得一只袜子——@3180000BC-  ,,无,无,无,2021-08-17 16:00,橘色pop子Android,1611,18,86
KtSkPEP32,上班摸鱼反过来就是上班emo——@机械信徒能建造星际巴别塔吗  ,,无,无,无,2021-08-17 15:27,橘色pop子Android,664,19,52
KtRVgiLRt,特斯拉是一种自行车吗——@slipspurposelydownthe-  ,,无,无,无,2021-08-17 14:24,橘色pop子Android,887,2,88
KtRLBCCvP,苹果的内核是苹果核——@别爱我我只是一只勾狗  ,,无,无,无,2021-08-17 14:00,橘色pop子Android,1547,18,93
KtMgIzBrQ,逗猫棒，狗都不玩。——@游霄YX  ,,无,无,无,2021-08-17 00:00,橘色pop子Android,1895,32,118
KtLrIhIP1,在过去特定时间点送花和转账的中国传统节日只有清明节。——@-尾班车  ,,无,无,无,2021-08-16 21:54,橘色pop子Android,1646,42,67
KtKGzbMyb,带土站在雨中，他只想找淋——@你最棒了鸭  ,,无,无,无,2021-08-16 19:58,橘色pop子Android,2828,328,139
KtKscjqnp,手铐勒痕，是不是也能叫法令纹——@炸过的花椒实在是太难吃啦  ,,无,无,无,2021-08-16 19:23,橘色pop子Android,5573,656,86
KtKi2iXPF,孔雀：把华丽两个字打在公屏上——@炸过的花椒实在是太难吃啦  ,,无,无,无,2021-08-16 18:58,橘色pop子Android,1195,26,48
KtJXBh02m,司仪：你俩要是不结婚真的很难收场——@炸过的花椒实在是太难吃啦  ,,无,无,无,2021-08-16 18:08,橘色pop子Android,2647,47,62
KtJvi2EzZ,长大后，乡愁是一座矮矮的坟墓。你在里头，我刮墓相看。 ——@新之助和破坏球都有屁屁神功  ,,无,无,无,2021-08-16 16:58,橘色pop子Android,2644,116,75
KtJ484hVB,植物的生殖过程是不是一种草粉——@炸过的花椒实在是太难吃啦  ,,无,无,无,2021-08-16 15:51,橘色pop子Android,1258,15,47
KtIyJ5zlz,实测：不行  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/007FR7Stgy1gtimajov38j30u01sz0vc.jpg,http://ww4.sinaimg.cn/large/007FR7Stgy1gtimak7585j30u032k7dl.jpg,http://ww1.sinaimg.cn/large/007FR7Stgy1gtimakp6wrj30xc21cq7f.jpg",无,无,2021-08-16 14:34,橘色pop子Android,2862,0,90
KtIxv5LeE,吃了增加智商的药以后发现自己被骗了，真有用啊！！ ——@美人驴战士  ,,无,无,无,2021-08-16 14:30,橘色pop子Android,1980,71,59
KtIog9hVi,武陵人要找桃源，去问问桃园三结义的刘关张不就行了吗。——@段子手郝师傅  ,,无,无,无,2021-08-16 14:08,橘色pop子Android,983,8,62
KtI2neaOI,被流星击中可以许愿不死吗——@皮下冰  ,,无,无,无,2021-08-16 13:14,橘色pop子Android,1173,25,106
KtHV3C4R6,CP的鹊桥断了就用奈何桥补上。——@电解波粒子  ,,无,无,无,2021-08-16 12:56,橘色pop子Android,2097,585,71
KtCTslYjA,昨天七夕我把顿顿带去切掉了🥚🥚，今天顿顿一只猫愁眉苦脸的。  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/007FR7Stgy1gthx8ssmghj32c03404qr.jpg,http://ww1.sinaimg.cn/large/007FR7Stgy1gthx8um5jej33402c0b2a.jpg",无,无,2021-08-16 00:08,橘色pop子Android,2028,59,115
KtC3NdZNA,烦心的蛇对好朋友蝎子说：走，去泡酒吧 ——@没有好报罢了  ,,无,无,无,2021-08-15 22:01,橘色pop子Android,1623,49,57
KtBMHBYYV,浑身是胆的赵子龙在食人族眼里是不是跟我们看KFC长六只翅膀的鸡一样 ——@阿巴阿吧日常  ,,无,无,无,2021-08-15 21:19,橘色pop子Android,1658,21,91
KtByUrGFT,人为什么有两只眼睛？因为人有一只左眼，还有一只右眼，一加一等于二，所以人类拥有两只眼睛。——@VillaPark  ,,无,无,无,2021-08-15 20:45,橘色pop子Android,2877,42,202
KtAO4BnmN,向流星许愿今晚可以看到流星。——@妙希希子  ,,无,无,无,2021-08-15 18:49,橘色pop子Android,996,17,71
KtAs9nTlu,他说要给我送月亮和花，所以我收到了一场镜花水月。——@雷贝卡丶  ,,无,无,无,2021-08-15 17:55,橘色pop子Android,2439,210,125
KtA2apQn3,吃了成熟果实的我为什么还这么幼稚。——@暴怒冰川  ,,无,无,无,2021-08-15 16:51,橘色pop子Android,1651,22,69
Ktz3xFLyx,求下联投稿：日本败本日——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2021-08-15 14:22,橘色pop子Android,13232,410,300
KtyAf5mek,电影院和宾馆，是人类的主要七夕地。——@闻名嬛禹rsd  ,,无,无,无,2021-08-15 13:10,橘色pop子Android,2775,87,73
KtykAlyhT,我去剪头发，跟Tony说:给我整个鲻鱼头。Tony:那你得去海鲜市场整。 ——@阿巴阿吧日常  ,,无,无,无,2021-08-15 12:31,橘色pop子Android,1974,25,112
Ktt9f6joU,人类的心跳声，会不会是死亡这颗定时炸弹的滴答声呢？——@Kyoka__-  ,,无,无,无,2021-08-14 23:20,橘色pop子Android,4969,462,127
KtsMAmehU,阎王让我三更死，我偏要两更就去；悄悄给他一个惊喜——@我在人间贩卖绝望  ,,无,无,无,2021-08-14 22:24,橘色pop子Android,2963,57,98
KtsEEjgyC,医生说我智力低下是什么意思？——@阿糊·  ,,无,无,无,2021-08-14 22:04,橘色pop子Android,3139,87,199
KtsrvBJcU,女大三，报考研班 ——@垃圾转运铁王八  ,,无,无,无,2021-08-14 21:32,橘色pop子Android,3910,88,165
Kts4hpeXK,七夕节，我问朋友找到对象没有，她说：“黑慕我。”——@幸福快乐薄荷酱  ,,无,无,无,2021-08-14 20:35,橘色pop子Android,961,13,115
KtrA4iY2h,男儿膝下有小腿——@Poleon_B  ,,无,无,无,2021-08-14 19:20,橘色pop子Android,4325,154,146
KtrhEx5ci,小王做了美白但是效果只有50%最后的效果只是丑白 ——@守护最好的谐音梗  ,,无,无,无,2021-08-14 18:35,橘色pop子Android,1308,8,63
Ktr99jh2Q,人们无法忍受漫长的寒冬于是集体买春。 ——@肉肉lin  ,,无,无,无,2021-08-14 18:14,橘色pop子Android,1407,25,59
KtqTDd6oj,你在我微信左侧，却像隔着银河。——@我仍未知道那天所调戏妹子的名字  ,,无,无,无,2021-08-14 17:36,橘色pop子Android,1752,88,133
KtqE6ucFs,专家称，我国存在大量单身青年的主要原因是他们都没有对象。 ——@摸鱼校尉罗盛君  ,,无,无,无,2021-08-14 16:57,橘色pop子Android,1729,46,112
KtqgdgCRL,天生嘴笨的我在刑场上紧张得跟刽子手大哥一句话都说不出，太尴尬了 ——@蒼井十一  ,,无,无,无,2021-08-14 15:58,橘色pop子Android,2699,23,96
Ktq4VfoHO,要断章取义——节选自《不要断章取义》——@真不戳戳戳  ,,无,无,无,2021-08-14 15:31,橘色pop子Android,3393,163,115
KtpBFtgQk,河南人给中评相当于给好评——@-wishyouwerehere-  ,,无,无,无,2021-08-14 14:19,橘色pop子Android,5433,380,182
KtptRrdAN,"""小明这银行，能储。"" ——@GORILLAZNOCAP  ",,无,无,无,2021-08-14 13:59,橘色pop子Android,1738,75,87
